,Instrument,CSR Sustainability Reporting,ESG Reporting Scope,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score
384,PRU,True,41.35,40.2883908411747,64.9517816823494,89.0399705852237,67.6447669581165,55.3154934122605,15.625
385,PEG,True,100.0,58.2207146839639,58.2207146839639,61.7041826309067,48.6881014434643,65.6138846908498,100.0
386,PTC.O,False,,33.8945234945101,33.8945234945101,3.12568545733713,34.5719973870034,42.5417946093483,100.0
387,PSA,False,,2.48580440701243,2.48580440701243,0.0,7.4773317440722,0.699419993176391,100.0
388,PHM,False,,39.0959167134174,39.0959167134174,30.1474913974914,34.5631507469443,57.8302029715958,100.0
389,QRVO.O,,,,,,,,
390,PWR,False,,30.8140924826995,30.8140924826995,9.89010989010989,29.4336921221221,62.0095530535653,100.0
391,QCOM.O,True,61.92,77.7632710298143,77.7632710298143,66.4734576185774,81.7967716731854,84.6557710617364,95.0
392,DGX,True,100.0,54.5743140567365,62.7200566849017,52.2753623188406,62.711962833914,67.9521164891173,46.4285714285714
393,RL,False,,26.4132043983244,26.4132043983244,32.2368421052631,26.8293862043862,21.9549641760491,100.0
394,RJF,False,,32.455706511919,49.0023221147471,17.5555555555555,57.9893721418793,56.1139542818151,15.9090909090909
395,RTX,True,100.0,50.5426156683549,59.4185646700432,67.2121826787141,43.0061949579142,75.9511237401264,41.6666666666666
396,O,False,,42.5203570411701,42.5203570411701,29.9778847868735,31.0395470605764,67.9324462640737,100.0
397,REG.O,False,,47.6645330204001,47.6645330204001,44.135771843637,44.4744795879273,54.7765267826681,100.0
398,REGN.O,False,,24.0284737168459,24.0284737168459,0.0,53.8094461212171,12.9136813374275,75.0
399,RF,True,100.0,43.1780017759124,43.1780017759124,41.4817335003612,42.6779815475588,56.0760056510327,68.5185185185185
400,RSG,False,,45.922925557474,45.922925557474,54.4070891514501,21.7344396997929,70.9405003405646,47.2222222222222
401,RMD,True,67.0,52.4036011827267,52.4036011827267,35.8873200442967,64.2267103763419,44.5441052757341,100.0
402,RHI,False,,32.430329736283,32.430329736283,27.1124239169351,28.7787015470439,40.8188331627431,100.0
403,ROK,True,100.0,48.5775535415048,48.5775535415048,42.8771320237078,51.7019809616581,51.3215878564381,100.0
404,ROL,,,,,,,,
405,ROP,False,,21.8478350759753,21.8478350759753,31.2506854573371,30.0406880890907,11.9720232002729,100.0
406,ROST.O,True,100.0,36.9141179748211,36.9141179748211,22.5239182430963,49.2808641975308,30.3683887043394,100.0
407,RCL,True,100.0,59.5161972242202,59.5161972242202,61.6262078287394,64.5943223443223,50.0,100.0
408,SPGI.K,True,35.0,37.3688598750973,60.8488308613057,71.0537056928034,59.3407459379372,55.8936403711354,13.8888888888888
409,CRM,False,,46.1439680085386,46.1439680085386,57.0933410104555,56.9561583551034,33.5486588650883,100.0
410,SBAC.O,False,,16.6322851617761,16.6322851617761,0.0,33.8108211655527,19.9078812691914,100.0
411,SLB,False,,49.0137167351517,49.0137167351517,64.7493131868131,35.4121298503017,50.0,100.0
412,STX.O,True,100.0,54.5058031980808,54.5058031980808,38.2051282051282,67.0537314069041,45.7125603864734,100.0
413,SEE,False,,43.1563754568955,43.1563754568955,48.1281306351432,24.2185663924794,67.6220828760652,100.0
414,SRE,True,100.0,60.0961027017176,60.0961027017176,49.8350361856108,53.9138575438194,87.4272404903638,100.0
415,NOW,False,,14.8058343565394,14.8058343565394,0.0,24.8159392789373,10.6277720914363,100.0
416,SHW,True,100.0,37.0952095788782,64.1904191577565,56.2444021572641,65.9002695760355,75.3311359832095,10.0
417,SBNY.O,,,,,,,,
418,SPG,False,,36.8459141733687,36.8459141733687,24.4233993222757,44.6928453292592,43.971451692169,83.3333333333333
419,SWKS.O,True,100.0,47.379675378655,47.379675378655,32.0571663272861,40.0499627100846,77.8607121434387,100.0
420,SJM,True,100.0,52.4938807943421,52.4938807943421,61.1752921228727,54.1625278678652,40.0612770003707,100.0
421,SNA,False,,44.6661033691508,44.6661033691508,17.3370085669177,58.2820506899693,59.6089973112021,100.0
422,SEDG.O,,,,,,,,
423,SO,True,100.0,48.0085659637484,48.0085659637484,39.3596028154851,51.2683582355713,58.4740733624261,56.25
424,LUV,True,100.0,63.8215805234651,63.8215805234651,70.8549323017407,67.2596557638847,51.0232827967438,89.1304347826086
425,SWK,True,100.0,42.7694173025883,42.7694173025883,31.7762119212154,61.2979969722355,31.668237082254,79.1666666666666
426,SBUX.O,True,100.0,45.7794965545463,82.8633409351796,87.3335525234259,80.9801587301587,81.6649238132893,8.69565217391304
427,STT,True,100.0,84.6175632832421,84.6175632832421,94.9197530864197,79.0786202375121,87.1201780543351,100.0
428,STE,,,,,,,,
429,SYK,True,100.0,30.5779124832074,43.6558249664148,9.22619047619048,33.3059628827624,73.3503061386621,17.5
430,SIVB.O,,,,,,,,
431,SYF,,,,,,,,
432,SNPS.O,False,,35.2206166311966,35.2206166311966,0.0,37.9192459638535,43.4629819174343,100.0
433,SYY,True,100.0,68.4580474469051,68.4580474469051,66.2828947368421,67.0293365838488,72.4761697132729,100.0
