,Symbol,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
210,BEN,12300.0,11223.4,10114.5,9906.5,9899.2,12620.0,11935.8,11841.0,11584.1,10073.1,9201.3
211,FCX,13980.0,10174.0,9298.0,9798,7977,6051,7828,18287,20934,17543,15642
212,GRMN.K,6114.159,5516.116,4793.496,4162.974,3852.419,3418.003,3345.126,3403.367,3659.706,3531.796,3256.581
213,IT,371.058,1090.428,938.593,850.757,983.465,60.878,-132.4,161.171,361.316,306.673,181.784
214,GNRC.K,2213.774,1390.293,1032.382,760.549,554.041,401.122,465.871,489.799,317.071,463.628,768.889
215,GD,17641.0,15661.0,13978.0,11732,11435,10301,10738,11829,14501,11390,13232
216,GE,40310.0,35551.0,28316.0,30981,56032,75827,98273,128158,130566,123026,116438
217,GIS,10542.4,9470.4,8058.5,7054.5,6141.1,4327.9,4930.2,4996.7,6534.8,6672.2,6421.7
218,GM,59744.0,45030.0,41792.0,38860,35001,43836,39871,35457,42607,36244,38120
219,GPC,3490.742,3204.796,3674.707,3450.451,3412.152,3193.728,3146.567,3301.248,3349.074,2997.887,2744.007
220,GILD.O,21069.0,18202.0,22525.0,21387.0,20442.0,18887.0,18534.0,15426.0,11370.0,9302.592,6738.856
221,GL,8642.806,8771.092,7294.307,5415.177,6231.421,4566.861,4055.552,4697.466,3776.342,4361.786,3859.631
222,GPN,25628.201,27332.37,27855.747,3991.407,3794.527,2630.791,757.976,997.227,1146.085,1172.184,1184.535
223,GS,109926.0,95932.0,90265.0,90185,82243,86893,86728,82797,78467,75716,70379
224,HAL,6713.0,4974.0,8012.0,9522,8322,9409,15462,16267,13581,15765,13198
225,HIG,17843.0,18556.0,16270.0,13101,13494,16903,17642,18720,18905,22447,21486
226,HAS.O,3025.9,2896.689,2995.53,1754.486,1829.957,1862.736,1663.902,1465.664,1682.343,1507.379,1417.515
227,HCA,-933.0,572.0,-2808.0,-4950,-6806,-7302,-7599,-7894,-8270,-9660,-8258
228,PEAK.K,6515.47,6788.345,6085.058,5944.439,5301.005,5547.595,9343.643,10735.297,10723.3,10551.237,9033.482
229,HSIC.O,3425.126,3348.172,2998.044,2961.332,2811.499,2793.066,2884.256,2813.594,2785.197,2613.585,2432.222
230,HSY,2757.229,2234.352,1739.222,1398.721,915.338,785.856,997.997,1455.062,1604.834,1036.749,857.317
231,HES,6300.0,5366.0,8732.0,9629,11051,14534,19386,22205,24720,21090,18516
