,Symbol,2021,2020,2019,2018,2017,2016
455,TYL,12.27,16.43,15.1,,,
456,TSN,8.98,12.5,9.55,14.683,15.96,12.63
457,USB,,,,,,
458,UDR,,,,,,
459,ULTA.O,,28.29,24.18,23.3,227.096,36.02
460,UNP,16.16,15.33,15.85,16.25,12.53,10.48
461,UAL.O,-15.13,-32.43,13.699,15.06,20.1,10.5
462,UPS,36.88,34.163,32.55,26.36,48.315,68.01
463,URI,12.69,12.09,,14.95,10.74,17.85
464,UNH,20.58,19.37,18.85,18.37,23.606,15.38
465,UHS,10.31,11.72,11.09,14.18,,
466,VLO,,-4.46,10.85,,13.88,8.8
467,VTR,1.2,2.2,3.976,4.23,4.91,4.36
468,VRSN.O,-127.36,-115.88,-73.72,-74.15,-47.0,-65.1
469,VRSK.O,9.599,21.185,16.41,11.4,18.859,24.52
470,VZ,10.79,13.83,14.3,13.28,17.17,15.9
471,VRTX.O,110.25,55.799,48.663,60.63,12.699,64.84
472,VFC,18.96,8.041,17.4,29.174,17.199,
473,VTRS.O,12.32,6.04,10.3,11.03,12.26,13.004
474,VICI.K,,5.68,7.2,7.637,,
475,V,,40.015,32.15,,28.44,32.73
476,VNO,1.8,-0.28,1.72,3.79,4.95,3.24
477,VMC,8.07,9.34,11.01,9.727,6.59,10.82
478,WAB,,,,,9.15,11.47
479,WBA.O,,15.68,12.51,17.37,16.16,19.89
480,WMT,,15.24,13.03,11.4,13.27,19.33
481,WBD.O,7.16,12.6,,,15.7,12.55
482,WM,,10.59,13.71,13.69,12.1,11.84
483,WAT,55.65,52.51,56.86,76.53,74.53,42.79
484,WEC,5.71,5.93,6.13,6.02,5.84,5.86
485,WFC,,,,,,
486,WELL.K,2.1,2.29,3.86,3.33,3.34,4.6
487,WST,34.75,22.86,17.033,16.24,16.75,19.58
488,WDC.O,18.83,11.86,7.82,10.544,29.05,21.62
489,WRK,,6.0,5.52,11.199,7.6,12.03
490,WY,,11.66,5.37,9.259,10.097,
491,WHR,25.78,19.35,17.13,15.97,,
492,WMB,7.599,5.5,5.654,6.9,3.19,1.87
493,WTW.O,31.699,11.2,9.68,12.59,12.82,12.4
494,GWW,27.47,20.1,26.99,28.34,30.19,21.06
495,WYNN.O,,-13.43,10.79,9.17,11.199,9.16
496,XEL.O,,6.01,4.799,4.73,4.17,8.59
497,XYL,14.153,10.78,13.14,14.894,14.63,12.02
498,YUM,72.35,74.62,85.83,80.85,77.82,47.56
499,ZBRA.O,27.83,24.56,24.89,,,
500,ZBH,10.48,7.09,9.3,9.49,9.26,12.26
501,ZION.O,,,,,,
502,ZTS,32.35,28.31,26.87,29.96,35.227,29.81
